Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Nyctalus spp.,1,A2,16/07/2018,04:46:51,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,00:24:45,55.01658333,-5.008966667
Nyctalus noctula,1,A2,17/07/2018,00:54:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,01:19:34,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,01:20:39,55.01658333,-5.008966667
Myotis spp.,1,A2,17/07/2018,02:12:43,55.01658333,-5.008966667
Nyctalus noctula,1,A2,17/07/2018,02:43:20,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,17/07/2018,03:42:31,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,17/07/2018,03:45:30,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,17/07/2018,03:45:33,55.01658333,-5.008966667
Nyctalus noctula,1,A2,17/07/2018,04:26:53,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,04:31:33,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,17/07/2018,05:16:26,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,02:36:02,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,02:41:17,55.01658333,-5.008966667
Myotis spp.,1,A2,18/07/2018,03:12:26,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,03:22:12,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,03:22:15,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,18/07/2018,03:51:13,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,03:51:47,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,04:00:12,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,05:27:47,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,18/07/2018,05:32:20,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,05:32:25,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,01:24:12,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,01:48:58,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,02:25:17,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,02:25:23,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,02:26:48,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,02:27:00,55.01658333,-5.008966667
Plecotus auritus,1,A2,19/07/2018,02:42:51,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,02:46:23,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,02:46:28,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,04:08:56,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,04:34:14,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,04:47:01,55.01658333,-5.008966667
Nyctalus noctula,1,A2,19/07/2018,05:22:40,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,20/07/2018,02:17:02,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,20/07/2018,02:17:05,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,20/07/2018,02:17:15,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,20/07/2018,02:17:30,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,20/07/2018,02:21:15,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,20/07/2018,02:22:14,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,20/07/2018,03:18:59,55.01658333,-5.008966667
Myotis spp.,1,A2,20/07/2018,03:38:12,55.01658333,-5.008966667
Nyctalus spp.,1,A2,20/07/2018,03:39:30,55.01658333,-5.008966667
Myotis spp.,1,A2,20/07/2018,05:15:54,55.01658333,-5.008966667
Nyctalus spp.,1,A2,20/07/2018,05:24:42,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,22/07/2018,04:36:25,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,23/07/2018,01:03:01,55.01658333,-5.008966667
Nyctalus spp.,1,A2,23/07/2018,01:03:07,55.01658333,-5.008966667
Nyctalus spp.,1,A2,23/07/2018,01:28:51,55.01658333,-5.008966667
Nyctalus spp.,1,A2,23/07/2018,01:28:54,55.01658333,-5.008966667
Nyctalus spp.,1,A2,23/07/2018,01:29:32,55.01658333,-5.008966667
Nyctalus noctula,1,A2,23/07/2018,02:06:06,55.01658333,-5.008966667
Nyctalus spp.,1,A2,23/07/2018,02:34:39,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,23/07/2018,05:08:01,55.01658333,-5.008966667
Nyctalus noctula,1,A2,24/07/2018,00:17:33,55.01658333,-5.008966667
Nyctalus spp.,1,A2,24/07/2018,01:31:13,55.01658333,-5.008966667
Nyctalus spp.,1,A2,24/07/2018,01:31:22,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,24/07/2018,03:00:49,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,24/07/2018,03:44:34,55.01658333,-5.008966667
Myotis spp.,1,A2,25/07/2018,00:57:08,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,25/07/2018,01:13:35,55.01658333,-5.008966667
Nyctalus spp.,1,A2,25/07/2018,01:51:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,27/07/2018,01:26:35,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,27/07/2018,01:57:39,55.01658333,-5.008966667
Nyctalus spp.,1,A2,28/07/2018,00:49:42,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,28/07/2018,04:42:39,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,29/07/2018,05:37:53,55.01658333,-5.008966667
