Species,Number,Location ID,Date,Time,Latitude,Longitude
Pipistrellus pipistrellus,1,A3,13/07/2018,23:13:07,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:13:10,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:13:45,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:14:50,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:17:15,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:17:15,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:17:21,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:22:26,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:22:28,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:24:49,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:25:01,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:27:43,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:27:59,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:30:03,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:28,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:32,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:43,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:51,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:20,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:27,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:34,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:46,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,13/07/2018,23:35:22,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,13/07/2018,23:35:27,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:35:31,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:36:22,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:49:11,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:51:52,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:54:30,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:57:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:58:37,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:58:59,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:59:45,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,15/07/2018,00:28:41,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,15/07/2018,00:28:57,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,14/07/2018,23:33:32,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:04:48,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:06:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:10:21,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:10:42,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:13:44,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:14:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:15:25,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:16:01,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:16:10,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:16:49,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:17:49,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:17:59,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:18:35,55.15971667,-3.157716667
